vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Tue Jan 23 20:56:16 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  518           1     0.0%     0.0%
    510           1     0.0%     0.0%
    508           1     0.0%     0.0%
    501           1     0.0%     0.0%
    499           2     0.0%     0.0%
    498           2     0.0%     0.0%
    497           1     0.0%     0.0%
    466           1     0.0%     0.0%
    464           3     0.0%     0.0%
    463          11     0.0%     0.0%
    462           7     0.0%     0.0%
    461           4     0.0%     0.0%
    460         304     0.0%     0.0%
    459         567     0.0%     0.0%
    458         468     0.0%     0.0%
    457         651     0.0%     0.0%
    456         696     0.0%     0.0%
    455         550     0.0%     0.1%
    454          98     0.0%     0.1%
    453          17     0.0%     0.1%
    452          21     0.0%     0.1%
    451          12     0.0%     0.1%
    450         129     0.0%     0.1%
    449         194     0.0%     0.1%
    448         180     0.0%     0.1%
    447         234     0.0%     0.1%
    446         258     0.0%     0.1%
    445         220     0.0%     0.1%
    444          48     0.0%     0.1%
    443           7     0.0%     0.1%
    442          10     0.0%     0.1%
    441          13     0.0%     0.1%
    440          18     0.0%     0.1%
    439           8     0.0%     0.1%
    438          14     0.0%     0.1%
    437          14     0.0%     0.1%
    436          14     0.0%     0.1%
    435           1     0.0%     0.1%
    432           1     0.0%     0.1%
    427           5     0.0%     0.1%
    426           6     0.0%     0.1%
    425           5     0.0%     0.1%
    424           3     0.0%     0.1%
    420           1     0.0%     0.1%
    418           1     0.0%     0.1%
    412           1     0.0%     0.1%
    409           1     0.0%     0.1%
    406           2     0.0%     0.1%
    405           2     0.0%     0.1%
    404           1     0.0%     0.1%
    402           1     0.0%     0.1%
    401           2     0.0%     0.1%
    399           1     0.0%     0.1%
    398           2     0.0%     0.1%
    397           1     0.0%     0.1%
    396           2     0.0%     0.1%
    395           7     0.0%     0.1%
    394           8     0.0%     0.1%
    393           4     0.0%     0.1%
    392           5     0.0%     0.1%
    391           8     0.0%     0.1%
    390           2     0.0%     0.1%
    389           1     0.0%     0.1%
    381           2     0.0%     0.1%
    378           1     0.0%     0.1%
    375           2     0.0%     0.1%
    374           2     0.0%     0.1%
    372           1     0.0%     0.1%
    370           1     0.0%     0.1%
    367           2     0.0%     0.1%
    359           2     0.0%     0.1%
    354           1     0.0%     0.1%
    353           1     0.0%     0.1%
    352           1     0.0%     0.1%
    351           1     0.0%     0.1%
    350           2     0.0%     0.1%
    349           2     0.0%     0.1%
    348          15     0.0%     0.1%
    347          23     0.0%     0.1%
    346          17     0.0%     0.1%
    345          28     0.0%     0.1%
    344          32     0.0%     0.1%
    343          28     0.0%     0.1%
    342          15     0.0%     0.1%
    340           4     0.0%     0.1%
    339          14     0.0%     0.1%
    338          62     0.0%     0.1%
    337          92     0.0%     0.1%
    336          99     0.0%     0.1%
    335         136     0.0%     0.1%
    334         136     0.0%     0.1%
    333         132     0.0%     0.1%
    332          31     0.0%     0.1%
    331          40     0.0%     0.1%
    330          48     0.0%     0.1%
    329          26     0.0%     0.1%
    328           7     0.0%     0.1%
    327           5     0.0%     0.1%
    326           1     0.0%     0.1%
    325           4     0.0%     0.1%
    323           2     0.0%     0.1%
    322           1     0.0%     0.1%
    320           4     0.0%     0.1%
    319           6     0.0%     0.1%
    318          17     0.0%     0.1%
    317          21     0.0%     0.1%
    316          12     0.0%     0.1%
    315          28     0.0%     0.1%
    314          24     0.0%     0.1%
    313          26     0.0%     0.1%
    312          32     0.0%     0.1%
    311          43     0.0%     0.1%
    310          92     0.0%     0.1%
    309         151     0.0%     0.1%
    308         134     0.0%     0.1%
    307         192     0.0%     0.1%
    306         209     0.0%     0.1%
    305         449     0.0%     0.1%
    304         593     0.0%     0.1%
    303        1631     0.0%     0.2%
    302        2566     0.0%     0.2%
    301        2396     0.0%     0.2%
    300        2927     0.1%     0.3%
    299        2922     0.1%     0.3%
    298        2481     0.0%     0.4%
    297         546     0.0%     0.4%
    296         264     0.0%     0.4%
    295          95     0.0%     0.4%
    294          56     0.0%     0.4%
    293          56     0.0%     0.4%
    292          46     0.0%     0.4%
    291          59     0.0%     0.4%
    290          56     0.0%     0.4%
    289          66     0.0%     0.4%
    288         632     0.0%     0.4%
    287        1882     0.0%     0.5%
    286       29933     0.5%     1.0%
    285      533513     9.2%    10.1%
    284      895209    15.4%    25.5%
    283      790304    13.6%    39.1%
    282     1037016    17.8%    56.9%
    281     1202390    20.7%    77.6%
    280     1031837    17.7%    95.3%
    279      174482     3.0%    98.3%
    278       28569     0.5%    98.8%
    277       25949     0.4%    99.3%
    276        9932     0.2%    99.4%
    275        3327     0.1%    99.5%
    274        1812     0.0%    99.5%
    273        1215     0.0%    99.6%
    272         675     0.0%    99.6%
    271         454     0.0%    99.6%
    270         257     0.0%    99.6%
    269         183     0.0%    99.6%
    268         184     0.0%    99.6%
    267          78     0.0%    99.6%
    266          45     0.0%    99.6%
    265          29     0.0%    99.6%
    264          14     0.0%    99.6%
    263           8     0.0%    99.6%
    262           7     0.0%    99.6%
    261          13     0.0%    99.6%
    260          14     0.0%    99.6%
    259         248     0.0%    99.6%
    258         490     0.0%    99.6%
    257         423     0.0%    99.6%
    256         641     0.0%    99.6%
    255         832     0.0%    99.6%
    254         861     0.0%    99.7%
    253         488     0.0%    99.7%
    252         510     0.0%    99.7%
    251         497     0.0%    99.7%
    250         494     0.0%    99.7%
    249         309     0.0%    99.7%
    248         230     0.0%    99.7%
    247          42     0.0%    99.7%
    246          17     0.0%    99.7%
    245          11     0.0%    99.7%
    244           6     0.0%    99.7%
    243          13     0.0%    99.7%
    242           8     0.0%    99.7%
    241          14     0.0%    99.7%
    240          17     0.0%    99.7%
    239          10     0.0%    99.7%
    238          15     0.0%    99.7%
    237          12     0.0%    99.7%
    236          18     0.0%    99.7%
    235          22     0.0%    99.7%
    234          76     0.0%    99.7%
    233         114     0.0%    99.7%
    232         124     0.0%    99.7%
    231         140     0.0%    99.7%
    230         149     0.0%    99.7%
    229         127     0.0%    99.7%
    228          28     0.0%    99.7%
    227          11     0.0%    99.7%
    226          11     0.0%    99.7%
    225          10     0.0%    99.7%
    224          17     0.0%    99.7%
    223          25     0.0%    99.7%
    222          60     0.0%    99.7%
    221         103     0.0%    99.7%
    220         100     0.0%    99.7%
    219         115     0.0%    99.7%
    218         124     0.0%    99.7%
    217          87     0.0%    99.7%
    216          15     0.0%    99.7%
    215           4     0.0%    99.7%
    214           5     0.0%    99.7%
    213           2     0.0%    99.7%
    212           2     0.0%    99.7%
    211           1     0.0%    99.7%
    208           1     0.0%    99.7%
    207           2     0.0%    99.7%
    206           9     0.0%    99.7%
    205           5     0.0%    99.7%
    204           3     0.0%    99.7%
    203          11     0.0%    99.7%
    202           6     0.0%    99.7%
    201           3     0.0%    99.7%
    199           2     0.0%    99.7%
    198         144     0.0%    99.7%
    197         225     0.0%    99.7%
    196         166     0.0%    99.7%
    195         237     0.0%    99.7%
    194         269     0.0%    99.7%
    193         274     0.0%    99.7%
    192          43     0.0%    99.7%
    191           4     0.0%    99.7%
    190           7     0.0%    99.7%
    189           1     0.0%    99.7%
    188           1     0.0%    99.7%
    187           1     0.0%    99.7%
    186           1     0.0%    99.7%
    185           2     0.0%    99.7%
    183           1     0.0%    99.7%
    182           1     0.0%    99.7%
    181          18     0.0%    99.7%
    180          36     0.0%    99.7%
    179          33     0.0%    99.7%
    178          39     0.0%    99.7%
    177          41     0.0%    99.8%
    176          46     0.0%    99.8%
    175           7     0.0%    99.8%
    174           2     0.0%    99.8%
    173           4     0.0%    99.8%
    172           8     0.0%    99.8%
    171          11     0.0%    99.8%
    170          79     0.0%    99.8%
    169          10     0.0%    99.8%
    168          19     0.0%    99.8%
    167          10     0.0%    99.8%
    166           4     0.0%    99.8%
    165           8     0.0%    99.8%
    164          11     0.0%    99.8%
    163           8     0.0%    99.8%
    162           5     0.0%    99.8%
    161           3     0.0%    99.8%
    160           3     0.0%    99.8%
    159           1     0.0%    99.8%
    158           4     0.0%    99.8%
    157           3     0.0%    99.8%
    156           3     0.0%    99.8%
    155           6     0.0%    99.8%
    154           3     0.0%    99.8%
    153           4     0.0%    99.8%
    152           2     0.0%    99.8%
    147           2     0.0%    99.8%
    146           5     0.0%    99.8%
    145           1     0.0%    99.8%
    144           2     0.0%    99.8%
    142          12     0.0%    99.8%
    141           4     0.0%    99.8%
    140          10     0.0%    99.8%
    139          14     0.0%    99.8%
    138          21     0.0%    99.8%
    137          18     0.0%    99.8%
    136          33     0.0%    99.8%
    135          35     0.0%    99.8%
    134         198     0.0%    99.8%
    133         851     0.0%    99.8%
    132         919     0.0%    99.8%
    131         968     0.0%    99.8%
    130        1711     0.0%    99.8%
    129        1744     0.0%    99.9%
    128        1103     0.0%    99.9%
    127         249     0.0%    99.9%
    126          58     0.0%    99.9%
    125          79     0.0%    99.9%
    124          27     0.0%    99.9%
    123          22     0.0%    99.9%
    122          21     0.0%    99.9%
    121         126     0.0%    99.9%
    120          11     0.0%    99.9%
    119          12     0.0%    99.9%
    118           9     0.0%    99.9%
    117           9     0.0%    99.9%
    116           4     0.0%    99.9%
    115           3     0.0%    99.9%
    114           3     0.0%    99.9%
    113           3     0.0%    99.9%
    112           1     0.0%    99.9%
    111           4     0.0%    99.9%
    110           2     0.0%    99.9%
    109           4     0.0%    99.9%
    108           5     0.0%    99.9%
    107           2     0.0%    99.9%
    105           3     0.0%    99.9%
    103           2     0.0%    99.9%
    100           1     0.0%    99.9%
     99           4     0.0%    99.9%
     98          10     0.0%    99.9%
     97           8     0.0%    99.9%
     96           5     0.0%    99.9%
     95           4     0.0%    99.9%
     94           2     0.0%    99.9%
     93           2     0.0%    99.9%
     92           3     0.0%    99.9%
     91           3     0.0%    99.9%
     90           5     0.0%    99.9%
     89           1     0.0%    99.9%
     88           1     0.0%    99.9%
     87           1     0.0%    99.9%
     86           4     0.0%    99.9%
     85           1     0.0%    99.9%
     84           4     0.0%    99.9%
     83           3     0.0%    99.9%
     82          11     0.0%    99.9%
     81          20     0.0%    99.9%
     80           1     0.0%    99.9%
     79           2     0.0%    99.9%
     78           2     0.0%    99.9%
     77           6     0.0%    99.9%
     76           3     0.0%    99.9%
     75           5     0.0%    99.9%
     73           5     0.0%    99.9%
     72           2     0.0%    99.9%
     71           4     0.0%    99.9%
     69           8     0.0%    99.9%
     68           9     0.0%    99.9%
     67           4     0.0%    99.9%
     66           7     0.0%    99.9%
     65           5     0.0%    99.9%
     64          11     0.0%    99.9%
     63          14     0.0%    99.9%
     62          19     0.0%    99.9%
     61           1     0.0%    99.9%
     60           4     0.0%    99.9%
     59          10     0.0%    99.9%
     58          19     0.0%    99.9%
     57          19     0.0%    99.9%
     56          15     0.0%    99.9%
     55          31     0.0%    99.9%
     54          22     0.0%    99.9%
     53           4     0.0%    99.9%
     52           3     0.0%    99.9%
     51           2     0.0%    99.9%
     50           6     0.0%    99.9%
     49           5     0.0%    99.9%
     48          10     0.0%    99.9%
     47          11     0.0%    99.9%
     46           3     0.0%    99.9%
     45           5     0.0%    99.9%
     44           5     0.0%    99.9%
     43           9     0.0%    99.9%
     42           7     0.0%    99.9%
     41           7     0.0%    99.9%
     40           9     0.0%    99.9%
     39          12     0.0%    99.9%
     38          19     0.0%    99.9%
     37          21     0.0%    99.9%
     36          46     0.0%    99.9%
     35         225     0.0%    99.9%
     34         355     0.0%    99.9%
     33         351     0.0%    99.9%
     32         494     0.0%    99.9%
     31         796     0.0%    99.9%
     30         844     0.0%   100.0%
     29         532     0.0%   100.0%
     28         581     0.0%   100.0%
     27         637     0.0%   100.0%
     26         524     0.0%   100.0%
     25          72     0.0%   100.0%
     24          10     0.0%   100.0%
     23          14     0.0%   100.0%
     22           9     0.0%   100.0%
     21           2     0.0%   100.0%
     20           1     0.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    J   41  0.00008  1549892981    94.6%    94.6%
    I   40  0.00010      307642     0.0%    94.6%
    H   39  0.00013      307651     0.0%    94.6%
    G   38  0.00016    42137271     2.6%    97.2%
    F   37  0.00020     2776839     0.2%    97.4%
    E   36  0.00025      912559     0.1%    97.4%
    D   35  0.00032      507714     0.0%    97.4%
    C   34  0.00040    28424259     1.7%    99.2%
    B   33  0.00050      349397     0.0%    99.2%
    A   32  0.00063      347236     0.0%    99.2%
    @   31  0.00079     4504694     0.3%    99.5%
    ?   30  0.00100     1977517     0.1%    99.6%
    >   29  0.00126      730024     0.0%    99.7%
    =   28  0.00158      434752     0.0%    99.7%
    <   27  0.00200     1026588     0.1%    99.7%
    ;   26  0.00251      449898     0.0%    99.8%
    :   25  0.00316      268823     0.0%    99.8%
    9   24  0.00398      327193     0.0%    99.8%
    8   23  0.00501      669711     0.0%    99.8%
    7   22  0.00631      231398     0.0%    99.9%
    6   21  0.00794      394592     0.0%    99.9%
    5   20  0.01000      171448     0.0%    99.9%
    4   19  0.01259      133864     0.0%    99.9%
    3   18  0.01585       98665     0.0%    99.9%
    2   17  0.01995      115036     0.0%    99.9%
    1   16  0.02512      103500     0.0%    99.9%
    0   15  0.03162      109997     0.0%    99.9%
    /   14  0.03981      119572     0.0%    99.9%
    .   13  0.05012       86189     0.0%    99.9%
    -   12  0.06310      131902     0.0%   100.0%
    ,   11  0.07943      265636     0.0%   100.0%
    +   10  0.10000      102843     0.0%   100.0%
    *    9  0.12589       39687     0.0%   100.0%
    )    8  0.15849       37035     0.0%   100.0%
    (    7  0.19953       37479     0.0%   100.0%
    '    6  0.25119       33297     0.0%   100.0%
    &    5  0.31623      131146     0.0%   100.0%
    %    4  0.39811       78970     0.0%   100.0%
    $    3  0.50119       47951     0.0%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  40.5  0.00009  0.000185   0.00   0.000210    0.021%
    3   100.0%  40.6  0.00009  0.000164   0.00   0.000194    0.019%
    4   100.0%  40.8  0.00008  0.000129   0.00   0.000178    0.018%
    5   100.0%  40.6  0.00009  0.000263   0.00   0.000195    0.019%
    6   100.0%  40.4  0.00009  0.000246   0.00   0.000203    0.020%
    7   100.0%  40.9  0.00008  0.000110   0.00   0.000190    0.019%
    8   100.0%  40.9  0.00008  0.000102   0.00   0.000179    0.018%
    9   100.0%  40.6  0.00009  0.000205   0.00   0.000182    0.018%
   10   100.0%  40.2  0.00009  0.000303   0.00   0.000194    0.019%
   11   100.0%  40.9  0.00008  0.000119   0.00   0.000187    0.019%
   12   100.0%  40.5  0.00009  0.000182   0.00   0.000187    0.019%
   13   100.0%  40.8  0.00008  0.000144   0.00   0.000183    0.018%
   14   100.0%  40.4  0.00009  0.000222   0.00   0.000186    0.019%
   15   100.0%  40.8  0.00008  0.000134   0.00   0.000183    0.018%
   16   100.0%  40.6  0.00009  0.000193   0.00   0.000183    0.018%
   17   100.0%  40.8  0.00008  0.000159   0.00   0.000182    0.018%
   18   100.0%  40.8  0.00008  0.000197   0.00   0.000183    0.018%
   19   100.0%  40.3  0.00009  0.000347   0.00   0.000191    0.019%
   20   100.0%  40.6  0.00009  0.001175   0.00   0.000241    0.024%
   21   100.0%  40.7  0.00009  0.000557   0.01   0.000256    0.026%
   22   100.0%  40.9  0.00008  0.000197   0.01   0.000253    0.025%
   23   100.0%  40.9  0.00008  0.000137   0.01   0.000248    0.025%
   24   100.0%  40.9  0.00008  0.000222   0.01   0.000247    0.025%
   25   100.0%  40.9  0.00008  0.000137   0.01   0.000242    0.024%
   26   100.0%  40.8  0.00008  0.000498   0.01   0.000252    0.025%
   27   100.0%  40.8  0.00008  0.000268   0.01   0.000253    0.025%
   28   100.0%  40.8  0.00008  0.000203   0.01   0.000251    0.025%
   29   100.0%  40.6  0.00009  0.000248   0.01   0.000251    0.025%
   30   100.0%  40.9  0.00008  0.000133   0.01   0.000247    0.025%
   31    99.9%  40.9  0.00008  0.000153   0.01   0.000244    0.024%
   32    99.9%  40.8  0.00008  0.000148   0.01   0.000241    0.024%
   33    99.9%  40.9  0.00008  0.000156   0.01   0.000238    0.024%
   34    99.9%  40.9  0.00008  0.000108   0.01   0.000234    0.023%
   35    99.9%  40.9  0.00008  0.000103   0.01   0.000231    0.023%
   36    99.9%  40.8  0.00008  0.000161   0.01   0.000229    0.023%
   37    99.9%  41.0  0.00008  0.000107   0.01   0.000225    0.023%
   38    99.9%  40.8  0.00008  0.000176   0.01   0.000224    0.022%
   39    99.9%  40.9  0.00008  0.000109   0.01   0.000221    0.022%
   40    99.9%  40.9  0.00008  0.000107   0.01   0.000218    0.022%
   41    99.9%  40.8  0.00008  0.000130   0.01   0.000216    0.022%
   42    99.9%  40.9  0.00008  0.000102   0.01   0.000213    0.021%
   43    99.9%  40.6  0.00009  0.000600   0.01   0.000222    0.022%
   44    99.9%  40.9  0.00008  0.000147   0.01   0.000221    0.022%
   45    99.9%  40.7  0.00009  0.000241   0.01   0.000221    0.022%
   46    99.9%  40.8  0.00008  0.000341   0.01   0.000224    0.022%
   47    99.9%  40.9  0.00008  0.000155   0.01   0.000222    0.022%
   48    99.9%  41.0  0.00008  0.000100   0.01   0.000220    0.022%
   49    99.9%  40.9  0.00008  0.000127   0.01   0.000218    0.022%
   50    99.9%  40.9  0.00008  0.000133   0.01   0.000216    0.022%
   51    99.9%  41.0  0.00008  0.000097   0.01   0.000214    0.021%
   52    99.9%  41.0  0.00008  0.000100   0.01   0.000212    0.021%
   53    99.9%  40.9  0.00008  0.000142   0.01   0.000210    0.021%
   54    99.9%  41.0  0.00008  0.000100   0.01   0.000208    0.021%
   55    99.9%  41.0  0.00008  0.000101   0.01   0.000206    0.021%
   56    99.9%  40.8  0.00008  0.000412   0.01   0.000210    0.021%
   57    99.9%  40.9  0.00008  0.000274   0.01   0.000211    0.021%
   58    99.9%  40.8  0.00008  0.000525   0.01   0.000216    0.022%
   59    99.9%  40.9  0.00008  0.000327   0.01   0.000218    0.022%
   60    99.9%  40.9  0.00008  0.000257   0.01   0.000219    0.022%
   61    99.9%  40.9  0.00008  0.000160   0.01   0.000218    0.022%
   62    99.9%  40.9  0.00008  0.000150   0.01   0.000217    0.022%
   63    99.9%  40.9  0.00008  0.000137   0.01   0.000216    0.022%
   64    99.9%  41.0  0.00008  0.000109   0.01   0.000214    0.021%
   65    99.9%  40.9  0.00008  0.000127   0.01   0.000213    0.021%
   66    99.9%  40.9  0.00008  0.000128   0.01   0.000211    0.021%
   67    99.9%  40.9  0.00008  0.000155   0.01   0.000210    0.021%
   68    99.9%  40.9  0.00008  0.000121   0.01   0.000209    0.021%
   69    99.9%  40.9  0.00008  0.000177   0.01   0.000209    0.021%
   70    99.9%  40.9  0.00008  0.000150   0.01   0.000208    0.021%
