OTU,C_17hr_Bulk_4,C_17hr_Sperm_3,C_Plt_Bulk_2,C_Plt_Sperm_1,C_V2_Bulk_5,C_V2_Rhizo_6,L_PCR_negative,L_PCR_positive1,L_PCR_positive2,L_PCR_positive3,L_Sample_1_2,L_Sample_2_2,L_Sample_3_2,L_Sample_4_,L_Sample_5_2,L_Sample_6_2,L_Sample_7_2,L_Sample_C,L_Sample_C_2,NS_17hr_Bulk_11,NS_17hr_Bulk_12,NS_17hr_Bulk_13,NS_17hr_Bulk_16,NS_17hr_Bulk_17,NS_17hr_Bulk_18,NS_17hr_Bulk_19,NS_17hr_Bulk_3,NS_17hr_Bulk_4,NS_17hr_Bulk_9,NS_17hr_Sperm_11,NS_17hr_Sperm_12,NS_17hr_Sperm_13,NS_17hr_Sperm_16,NS_17hr_Sperm_17,NS_17hr_Sperm_18,NS_17hr_Sperm_19,NS_17hr_Sperm_3,NS_17hr_Sperm_4,NS_17hr_Sperm_9,NS_Plt_Bulk_1,NS_Plt_Bulk_10,NS_Plt_Bulk_14,NS_Plt_Bulk_15,NS_Plt_Bulk_2,NS_Plt_Bulk_20,NS_Plt_Bulk_5,NS_Plt_Bulk_6,NS_Plt_Bulk_7,NS_Plt_Bulk_8,NS_Plt_Sperm_1,NS_Plt_Sperm_10,NS_Plt_Sperm_14,NS_Plt_Sperm_15,NS_Plt_Sperm_2,NS_Plt_Sperm_20,NS_Plt_Sperm_5,NS_Plt_Sperm_6,NS_Plt_Sperm_7,NS_Plt_Sperm_8,NS_V2_Bulk_12,NS_V2_Bulk_13,NS_V2_Bulk_15,NS_V2_Bulk_16,NS_V2_Bulk_18,NS_V2_Bulk_19,NS_V2_Bulk_3,NS_V2_Bulk_4,NS_V2_Bulk_8,NS_V2_Bulk_9,NS_V2_Rhizo_12,NS_V2_Rhizo_13,NS_V2_Rhizo_15,NS_V2_Rhizo_16,NS_V2_Rhizo_18,NS_V2_Rhizo_19,NS_V2_Rhizo_3,NS_V2_Rhizo_4,NS_V2_Rhizo_8,NS_V2_Rhizo_9,PCR_Negative_1,PCR_Negative_2,PCR_Negative_3,Positive_Mock_LL,Positive_Mock_LL2,S_17hr_Bulk_1,S_17hr_Bulk_10,S_17hr_Bulk_11,S_17hr_Bulk_14,S_17hr_Bulk_18,S_17hr_Bulk_20,S_17hr_Bulk_3,S_17hr_Bulk_4,S_17hr_Bulk_7,S_17hr_Bulk_8,S_17hr_Sperm_1,S_17hr_Sperm_10,S_17hr_Sperm_11,S_17hr_Sperm_14,S_17hr_Sperm_18,S_17hr_Sperm_20,S_17hr_Sperm_3,S_17hr_Sperm_4,S_17hr_Sperm_7,S_17hr_Sperm_8,S_Plt_Bulk_12,S_Plt_Bulk_13,S_Plt_Bulk_15,S_Plt_Bulk_16,S_Plt_Bulk_17,S_Plt_Bulk_19,S_Plt_Bulk_2,S_Plt_Bulk_5,S_Plt_Bulk_6,S_Plt_Bulk_9,S_Plt_Sperm_12,S_Plt_Sperm_13,S_Plt_Sperm_15,S_Plt_Sperm_16,S_Plt_Sperm_17,S_Plt_Sperm_19,S_Plt_Sperm_2,S_Plt_Sperm_5,S_Plt_Sperm_6,S_Plt_Sperm_9,S_V2_Bulk_1,S_V2_Bulk_10,S_V2_Bulk_11,S_V2_Bulk_14,S_V2_Bulk_18,S_V2_Bulk_20,S_V2_Bulk_3,S_V2_Bulk_4,S_V2_Bulk_7,S_V2_Bulk_8,S_V2_Rhizo_1,S_V2_Rhizo_10,S_V2_Rhizo_11,S_V2_Rhizo_14,S_V2_Rhizo_18,S_V2_Rhizo_20,S_V2_Rhizo_3,S_V2_Rhizo_4,S_V2_Rhizo_7,S_V2_Rhizo_8
BOTU_1,63,1899,20,0,0,0,0,3,1,0,5,6,8,27,34,9,20,56,0,1041,998,590,945,567,1073,1694,389,449,2520,1614,1405,1213,1311,1866,1084,1370,2556,2294,2466,942,278,434,663,1103,447,386,442,836,918,472,558,362,573,560,1849,762,846,677,265,1185,677,429,823,422,553,250,446,284,627,1218,661,796,830,753,893,441,597,1172,590,0,0,0,1,6,2041,2757,4379,3628,2563,3775,1078,1732,3242,3809,6570,11079,1985,4638,9042,0,6002,18281,9447,10703,3495,3949,3050,2767,1551,1783,2348,3273,2846,2812,3102,2255,1979,2534,2004,848,4963,4456,875,2801,1632,1187,2633,1335,1242,2241,2618,2355,1560,2118,1490,4921,6257,1553,16974,2383,1912,1713,1981,5073
BOTU_10,1,420,34,0,0,0,0,0,0,0,2,1,6,0,1,3,4,0,0,649,477,352,224,482,462,480,481,382,329,316,300,391,448,373,343,376,633,421,500,480,280,409,387,433,385,277,472,509,436,430,391,501,531,335,546,612,406,438,85,489,399,465,652,926,554,371,347,351,353,481,381,322,418,334,448,294,482,295,494,0,0,0,0,2,374,458,531,571,290,433,357,247,409,435,258,318,386,356,171,0,279,284,401,416,294,464,285,289,214,376,846,136,402,442,404,339,328,499,336,298,517,618,147,510,536,194,295,147,290,281,428,394,288,251,291,474,408,140,137,127,280,438,138,332
BOTU_100,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,0,0,0,1,1,0,0,3,2,0,0,0,1,0,1,2,0,2,4,0,1,0,3,1,0,1,1,1,0,4,0,6,0,2,0,1,2,2,0,0,1,0,0,0,1,0,0,0,3,3,1,4,2,2,11,2,9,56,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,5,2,1,1,0,0,0,1,0,13,20,5,5,24,2,5,0,35,418,88,992,319,223,323,80,966,457
BOTU_1000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,10,1,3,5,5,5,5,1,4,2,1,5,1,4,5,5,5,4,4,3,2,5,0,3,5,8,6,6,0,2,2,6,2,7,0,0,4,3,2,5,4,7,4,4,3,2,3,2,1,3,1,5,7,3,1,7,0,0,0,0,0,5,1,0,5,2,0,7,0,5,1,1,0,7,1,1,0,2,9,2,1,1,1,1,2,0,3,3,0,4,0,3,0,0,0,0,2,5,9,0,0,8,2,4,2,0,1,1,4,0,2,4,7,4,0,1,1,2,0,1,2
BOTU_1001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,7,5,5,6,2,3,4,2,3,3,2,2,3,2,3,5,3,3,3,7,1,4,2,1,4,6,3,6,1,4,4,4,2,5,2,0,1,0,3,6,7,6,2,0,2,0,4,1,1,1,1,4,1,6,3,5,0,0,0,0,0,5,6,4,4,1,1,3,1,6,5,0,4,5,2,2,0,4,8,3,1,3,5,2,4,0,3,9,0,6,5,4,0,2,12,2,1,4,10,0,11,7,2,8,1,4,1,5,9,3,3,3,1,10,2,1,2,3,6,1,0
BOTU_1002,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,14,3,1,6,4,4,8,7,3,5,0,3,5,5,6,5,8,6,5,3,6,14,5,8,3,3,25,7,10,3,4,15,1,9,7,7,5,8,0,6,10,5,7,23,7,1,5,3,5,9,2,3,5,4,8,7,8,4,7,0,0,0,0,0,6,4,1,4,2,6,4,1,3,2,1,4,0,4,3,0,1,1,2,2,1,4,4,2,9,6,3,1,11,4,2,2,1,6,1,5,5,4,0,14,4,1,3,1,2,1,3,0,0,0,1,11,4,4,1,5,0,4,1,2
BOTU_1003,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,3,1,6,4,2,5,1,2,2,1,7,4,3,5,4,3,6,2,6,3,8,0,1,6,2,3,5,4,5,3,3,0,5,4,9,2,4,0,5,0,4,8,7,5,2,3,1,3,4,1,2,0,3,4,2,2,1,3,0,0,0,0,0,3,6,2,1,1,0,2,0,3,0,0,0,4,2,0,0,0,5,1,0,2,2,1,2,0,4,0,0,3,0,0,2,1,3,2,0,3,2,0,0,4,0,0,0,0,2,3,1,0,0,2,1,2,0,1,0,1,1,1,0
BOTU_1004,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,16,2,1,1,1,2,2,3,5,2,2,0,3,1,5,2,3,2,2,10,2,4,4,6,2,5,4,0,1,0,6,2,7,9,0,9,7,12,3,8,5,1,3,7,0,7,6,4,3,3,7,2,7,6,9,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,1,6,0,3,2,0,2,0,2,2,0,1,3,2,1,0,0,0,1,1,2,10,7,10,1,3,0,0,1,0,1,8,2,9,1,0,0,2
BOTU_1005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,1,3,3,4,2,1,2,5,4,2,3,2,2,3,7,5,6,3,1,0,0,6,1,4,3,3,1,10,11,0,1,2,2,0,1,0,3,3,2,3,3,1,0,1,2,4,4,3,2,2,3,4,0,5,1,6,0,0,0,0,0,2,2,5,4,2,2,3,1,1,1,3,0,1,0,1,0,5,1,2,1,3,4,0,1,0,2,0,0,0,1,2,2,2,5,5,3,0,0,0,1,3,2,0,1,1,2,1,4,1,0,3,3,0,1,1,1,1,2,1,0
BOTU_1006,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4,1,3,1,0,1,3,3,1,0,3,2,3,6,1,3,1,1,1,3,0,4,1,2,3,0,6,1,0,4,0,3,6,0,2,1,1,1,0,10,0,4,0,0,2,1,0,1,0,2,1,2,5,2,0,0,0,0,0,2,2,1,2,3,2,0,1,2,3,1,3,3,3,0,0,2,2,0,4,0,1,1,0,0,3,5,1,1,0,0,0,3,2,4,2,2,4,22,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
