"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_1","FOTU_1","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","cladosporioides","Cladosporium_cladosporioides","FOTU_1_Cladosporium_cladosporioides"
"FOTU_2","FOTU_2","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_2_Fungi"
"FOTU_3","FOTU_3","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Gilmaniella","humicola","Gilmaniella_humicola","FOTU_3_Gilmaniella_humicola"
"FOTU_4","FOTU_4","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_4_unidentified"
"FOTU_5","FOTU_5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","unidentified","Fusarium","FOTU_5_Fusarium"
"FOTU_6","FOTU_6","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","unidentified","Fusicolla","FOTU_6_Fusicolla"
"FOTU_7","FOTU_7","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","cucumerina","Plectosphaerella_cucumerina","FOTU_7_Plectosphaerella_cucumerina"
"FOTU_8","FOTU_8","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_8_Fungi"
"FOTU_9","FOTU_9","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","unidentified","unidentified","Didymellaceae","FOTU_9_Didymellaceae"
"FOTU_10","FOTU_10","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","unidentified","Tetracladium","FOTU_10_Tetracladium"
"FOTU_11","FOTU_11","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","unidentified","Gibellulopsis","FOTU_11_Gibellulopsis"
"FOTU_12","FOTU_12","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","equiseti","Fusarium_equiseti","FOTU_12_Fusarium_equiseti"
"FOTU_13","FOTU_13","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","flavus","Talaromyces_flavus","FOTU_13_Talaromyces_flavus"
"FOTU_14","FOTU_14","Mocki","Mockmycota","Mockomycetes","Mockoales","Mockoaecea","Mock","unidentified","unidentified","FOTU_14_Mock"
"FOTU_15","FOTU_15","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","oxalicum","Penicillium_oxalicum","FOTU_15_Penicillium_oxalicum"
"FOTU_16","FOTU_16","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","rishikesha","Mortierella_rishikesha","FOTU_16_Mortierella_rishikesha"
"FOTU_17","FOTU_17","Mocki","Mockmycota","Mockomycetes","Mockoales","Mockoaecea","Mock","mock8","unidentified","FOTU_17_Mock_mock8"
"FOTU_18","FOTU_18","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","rosea","Clonostachys_rosea","FOTU_18_Clonostachys_rosea"
"FOTU_19","FOTU_19","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","grande","Chaetomium_grande","FOTU_19_Chaetomium_grande"
"FOTU_20","FOTU_20","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","unidentified","Fusarium","FOTU_20_Fusarium"
