vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Sun Feb  4 14:19:22 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  298       11139     0.1%     0.1%
    297        5705     0.1%     0.1%
    296        1687     0.0%     0.2%
    295         428     0.0%     0.2%
    294         175     0.0%     0.2%
    293          51     0.0%     0.2%
    292          10     0.0%     0.2%
    291          17     0.0%     0.2%
    290           8     0.0%     0.2%
    289          13     0.0%     0.2%
    288          18     0.0%     0.2%
    287          40     0.0%     0.2%
    286          39     0.0%     0.2%
    285          41     0.0%     0.2%
    284          44     0.0%     0.2%
    283         182     0.0%     0.2%
    282          77     0.0%     0.2%
    281          79     0.0%     0.2%
    280         186     0.0%     0.2%
    279         188     0.0%     0.2%
    278         431     0.0%     0.2%
    277         389     0.0%     0.2%
    276        1056     0.0%     0.2%
    275        1016     0.0%     0.2%
    274        1722     0.0%     0.2%
    273        2230     0.0%     0.2%
    272        3484     0.0%     0.3%
    271        6646     0.1%     0.3%
    270       48879     0.4%     0.8%
    269     1785902    15.7%    16.5%
    268     1531352    13.5%    30.0%
    267     1950278    17.2%    47.1%
    266     2054373    18.1%    65.2%
    265     1787242    15.7%    81.0%
    264     1686571    14.9%    95.8%
    263      391988     3.5%    99.3%
    262       41111     0.4%    99.6%
    261        5233     0.0%    99.7%
    260        2438     0.0%    99.7%
    259        1093     0.0%    99.7%
    258         270     0.0%    99.7%
    257         167     0.0%    99.7%
    256          45     0.0%    99.7%
    255          51     0.0%    99.7%
    254          44     0.0%    99.7%
    253          23     0.0%    99.7%
    252           8     0.0%    99.7%
    251          18     0.0%    99.7%
    250          20     0.0%    99.7%
    249          27     0.0%    99.7%
    248          23     0.0%    99.7%
    247          24     0.0%    99.7%
    246          22     0.0%    99.7%
    245          30     0.0%    99.7%
    244          21     0.0%    99.7%
    243          22     0.0%    99.7%
    242          20     0.0%    99.7%
    241          22     0.0%    99.7%
    240          29     0.0%    99.7%
    239          17     0.0%    99.7%
    238          22     0.0%    99.7%
    237          18     0.0%    99.7%
    236           4     0.0%    99.7%
    235          20     0.0%    99.7%
    234          14     0.0%    99.7%
    233          15     0.0%    99.7%
    232          19     0.0%    99.7%
    231       13439     0.1%    99.8%
    230          25     0.0%    99.8%
    229          26     0.0%    99.8%
    228          29     0.0%    99.8%
    227          34     0.0%    99.8%
    226          29     0.0%    99.8%
    225          36     0.0%    99.8%
    224          36     0.0%    99.8%
    223          31     0.0%    99.8%
    222          37     0.0%    99.8%
    221          37     0.0%    99.9%
    220          43     0.0%    99.9%
    219          62     0.0%    99.9%
    218          72     0.0%    99.9%
    217          81     0.0%    99.9%
    216          64     0.0%    99.9%
    215          99     0.0%    99.9%
    214          56     0.0%    99.9%
    213          65     0.0%    99.9%
    212          61     0.0%    99.9%
    211          48     0.0%    99.9%
    210          41     0.0%    99.9%
    209          34     0.0%    99.9%
    208          33     0.0%    99.9%
    207          33     0.0%    99.9%
    206          23     0.0%    99.9%
    205          26     0.0%    99.9%
    204          21     0.0%    99.9%
    203          14     0.0%    99.9%
    202           9     0.0%    99.9%
    201           5     0.0%    99.9%
    200          17     0.0%    99.9%
    199          13     0.0%    99.9%
    198          12     0.0%    99.9%
    197           8     0.0%    99.9%
    196          11     0.0%    99.9%
    195          10     0.0%    99.9%
    194          10     0.0%    99.9%
    193           9     0.0%    99.9%
    192           5     0.0%    99.9%
    191          10     0.0%    99.9%
    190           2     0.0%    99.9%
    189           9     0.0%    99.9%
    188           9     0.0%    99.9%
    187          10     0.0%    99.9%
    186           7     0.0%    99.9%
    185           4     0.0%    99.9%
    184           6     0.0%    99.9%
    183          10     0.0%    99.9%
    182          11     0.0%    99.9%
    181           3     0.0%    99.9%
    180          15     0.0%    99.9%
    179           7     0.0%    99.9%
    178           7     0.0%    99.9%
    177           7     0.0%    99.9%
    176           5     0.0%    99.9%
    175          11     0.0%    99.9%
    174          10     0.0%    99.9%
    173           9     0.0%    99.9%
    172          15     0.0%    99.9%
    171          18     0.0%    99.9%
    170          15     0.0%    99.9%
    169          19     0.0%    99.9%
    168          23     0.0%    99.9%
    167          19     0.0%    99.9%
    166          23     0.0%    99.9%
    165          14     0.0%    99.9%
    164          13     0.0%    99.9%
    163          13     0.0%    99.9%
    162          12     0.0%    99.9%
    161          12     0.0%    99.9%
    160          17     0.0%    99.9%
    159          14     0.0%    99.9%
    158          13     0.0%    99.9%
    157          14     0.0%    99.9%
    156          20     0.0%    99.9%
    155          23     0.0%    99.9%
    154          37     0.0%    99.9%
    153          24     0.0%    99.9%
    152          26     0.0%    99.9%
    151          25     0.0%    99.9%
    150          11     0.0%    99.9%
    149          18     0.0%    99.9%
    148          10     0.0%    99.9%
    147           8     0.0%    99.9%
    146          10     0.0%    99.9%
    145           7     0.0%    99.9%
    144           5     0.0%    99.9%
    143           6     0.0%    99.9%
    142           8     0.0%    99.9%
    141           4     0.0%    99.9%
    140           7     0.0%    99.9%
    139           3     0.0%    99.9%
    138           4     0.0%    99.9%
    137           7     0.0%    99.9%
    136          13     0.0%    99.9%
    135          11     0.0%    99.9%
    134          11     0.0%    99.9%
    133          16     0.0%    99.9%
    132          25     0.0%    99.9%
    131          12     0.0%    99.9%
    130          16     0.0%    99.9%
    129          12     0.0%    99.9%
    128          10     0.0%    99.9%
    127           7     0.0%    99.9%
    126           6     0.0%    99.9%
    125           1     0.0%    99.9%
    124           4     0.0%    99.9%
    123           3     0.0%    99.9%
    122           4     0.0%    99.9%
    121           3     0.0%    99.9%
    120           3     0.0%    99.9%
    118           3     0.0%    99.9%
    117           4     0.0%    99.9%
    116           3     0.0%    99.9%
    115           4     0.0%    99.9%
    114           6     0.0%    99.9%
    113           3     0.0%    99.9%
    112           7     0.0%    99.9%
    111           7     0.0%    99.9%
    110           3     0.0%    99.9%
    109           1     0.0%    99.9%
    107           2     0.0%    99.9%
     98           1     0.0%    99.9%
     96           3     0.0%    99.9%
     93           1     0.0%    99.9%
     90           1     0.0%    99.9%
     87           2     0.0%    99.9%
     85           1     0.0%    99.9%
     84           5     0.0%    99.9%
     83       14890     0.1%   100.0%
     82          49     0.0%   100.0%
     81           5     0.0%   100.0%
     80           2     0.0%   100.0%
     72           2     0.0%   100.0%
     68           1     0.0%   100.0%
     67           5     0.0%   100.0%
