"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_1","FOTU_1","Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","Phallus","rubicundus","Phallus_rubicundus","FOTU_1_Phallus_rubicundus"
"FOTU_2","FOTU_2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","unidentified","Fusarium","FOTU_2_Fusarium"
"FOTU_3","FOTU_3","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","cladosporioides","Cladosporium_cladosporioides","FOTU_3_Cladosporium_cladosporioides"
"FOTU_4","FOTU_4","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_4_Fungi"
"FOTU_5","FOTU_5","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","rishikesha","Mortierella_rishikesha","FOTU_5_Mortierella_rishikesha"
"FOTU_6","FOTU_6","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","unidentified","Tetracladium","FOTU_6_Tetracladium"
"FOTU_7","FOTU_7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","unidentified","Fusicolla","FOTU_7_Fusicolla"
"FOTU_8","FOTU_8","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","ucrainicus","Talaromyces_ucrainicus","FOTU_8_Talaromyces_ucrainicus"
"FOTU_9","FOTU_9","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","flavus","Talaromyces_flavus","FOTU_9_Talaromyces_flavus"
"FOTU_10","FOTU_10","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","unidentified","Trichoderma","FOTU_10_Trichoderma"
"FOTU_11","FOTU_11","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","punctatus","Spizellomyces_punctatus","FOTU_11_Spizellomyces_punctatus"
"FOTU_12","FOTU_12","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","minutissima","Podila_minutissima","FOTU_12_Podila_minutissima"
"FOTU_13","FOTU_13","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","Alternaria_tenuissima","FOTU_13_Alternaria_tenuissima"
"FOTU_14","FOTU_14","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_14_unidentified"
"FOTU_15","FOTU_15","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","unidentified","Fusarium","FOTU_15_Fusarium"
"FOTU_16","FOTU_16","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Ascomycota","FOTU_16_Ascomycota"
"FOTU_17","FOTU_17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","rosea","Clonostachys_rosea","FOTU_17_Clonostachys_rosea"
"FOTU_18","FOTU_18","Mocki","Mockimycota","Mockimycetes","Mockiales","Mockiaceae","Mock","unidentified","unidentified","FOTU_18_Mock"
"FOTU_19","FOTU_19","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","grande","Chaetomium_grande","FOTU_19_Chaetomium_grande"
"FOTU_20","FOTU_20","Mocki","Mockimycota","Mockimycetes","Mockiales","Mockiaceae","Mock","unidentified","unidentified","FOTU_20_Mock"
"FOTU_21","FOTU_21","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","amoeboidea","Linnemannia_amoeboidea","FOTU_21_Linnemannia_amoeboidea"
"FOTU_22","FOTU_22","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","unidentified","Aspergillus","FOTU_22_Aspergillus"
"FOTU_23","FOTU_23","Mocki","Mockimycota","Mockimycetes","Mockiales","Mockiaceae","Mock","mock8","unidentified","FOTU_23_Mock_mock8"
"FOTU_24","FOTU_24","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Albifimbria","verrucaria","Albifimbria_verrucaria","FOTU_24_Albifimbria_verrucaria"
"FOTU_25","FOTU_25","Mocki","Mockimycota","Mockimycetes","Mockiales","Mockiaceae","Mock","mock3","unidentified","FOTU_25_Mock_mock3"
"FOTU_26","FOTU_26","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","nigrescens","Humicola_nigrescens","FOTU_26_Humicola_nigrescens"
"FOTU_27","FOTU_27","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","purpureogenus","Talaromyces_purpureogenus","FOTU_27_Talaromyces_purpureogenus"
"FOTU_28","FOTU_28","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","fischeri","Aspergillus_fischeri","FOTU_28_Aspergillus_fischeri"
"FOTU_29","FOTU_29","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","frigida","Mrakia_frigida","FOTU_29_Mrakia_frigida"
"FOTU_30","FOTU_30","Mocki","Mockimycota","Mockimycetes","Mockiales","Mockiaceae","Mock","mock7","unidentified","FOTU_30_Mock_mock7"
"FOTU_31","FOTU_31","Fungi","Chytridiomycota","GS13","GS13_ord_Incertae_sedis","GS13_fam_Incertae_sedis","GS13_gen_Incertae_sedis","unidentified","GS13_gen_Incertae_sedis","FOTU_31_GS13_gen_Incertae_sedis"
