ID,Tube,Trt,Time ,Type,Rep,Weight,Qubit.1,Qubit.2,Sample.Date,Extraction.Date,Notes,,,,,,,,,,
74,C_17hr_Bulk_4,Control ,17hrs,Bulk.Soil,4,NA,too low,too low,6/17/2023,9/17/2023,,,,,,,,,,,
53,C_17hr_Sperm_3,Control ,17hrs,Spermosphere,3,NA,too low,too low,6/17/2023,9/6/2023,,,,,,,,,,,
32,C_Plt_Bulk_2,Control ,Planting,Bulk.Soil,2,NA,too low,too low,6/16/2023,9/15/2023,,,,,,,,,,,
11,C_Plt_Sperm_1,Control ,Planting,Spermosphere,1,NA,too low,too low,6/16/2023,9/6/2023,This_Is_Correct,,,,,,,,,,
95,C_V2_Bulk_5,Control ,V2,Bulk.Soil,5,NA,too low,too low,7/5/2023,9/12/2023,,,,,,,,,,,
116,C_V2_Rhizo_6,Control ,V2,Rhizosphere,6,NA,too low,too low,7/5/2023,9/14/2023,,,,,,,,,,,
78,NS_17hr_Bulk_11,Non.Steamed,17hrs,Bulk.Soil,11,296.9,19.3,19.3,6/17/2023,9/17/2023,,,,,,,,,,,
79,NS_17hr_Bulk_12,Non.Steamed,17hrs,Bulk.Soil,12,298.2,14.1,13.9,6/17/2023,9/17/2023,,,,,,,,,,,
80,NS_17hr_Bulk_13,Non.Steamed,17hrs,Bulk.Soil,13,306.4,27.8,27.6,6/17/2023,9/17/2023,,,,,,,,,,,
81,NS_17hr_Bulk_16,Non.Steamed,17hrs,Bulk.Soil,16,326.9,25.6,25.1,6/17/2023,9/17/2023,,,,,,,,,,,
82,NS_17hr_Bulk_17,Non.Steamed,17hrs,Bulk.Soil,17,315.9,40.9,41.6,6/17/2023,9/17/2023,,,,,,,,,,,
83,NS_17hr_Bulk_18,Non.Steamed,17hrs,Bulk.Soil,18,308,14.2,14.3,6/17/2023,9/17/2023,,,,,,,,,,,
84,NS_17hr_Bulk_19,Non.Steamed,17hrs,Bulk.Soil,19,307,11,10.9,6/17/2023,9/17/2023,,,,,,,,,,,
75,NS_17hr_Bulk_3,Non.Steamed,17hrs,Bulk.Soil,3,297.6,31.4,31.4,6/17/2023,9/17/2023,,,,,,,,,,,
76,NS_17hr_Bulk_4,Non.Steamed,17hrs,Bulk.Soil,4,296.3,17.8,17.4,6/17/2023,9/17/2023,,,,,,,,,,,
77,NS_17hr_Bulk_9,Non.Steamed,17hrs,Bulk.Soil,9,297.5,17.5,17.5,6/17/2023,9/17/2023,,,,,,,,,,,
57,NS_17hr_Sperm_11,Non.Steamed,17hrs,Spermosphere,11,246.5,18,17.6,6/17/2023,9/6/2023,,,,,,,,,,,
58,NS_17hr_Sperm_12,Non.Steamed,17hrs,Spermosphere,12,250.4,21.8,21.2,6/17/2023,9/6/2023,,,,,,,,,,,
59,NS_17hr_Sperm_13,Non.Steamed,17hrs,Spermosphere,13,250.3,13.9,13.8,6/17/2023,9/6/2023,,,,,,,,,,,
60,NS_17hr_Sperm_16,Non.Steamed,17hrs,Spermosphere,16,244.5,25.3,25.4,6/17/2023,9/6/2023,,,,,,,,,,,
61,NS_17hr_Sperm_17,Non.Steamed,17hrs,Spermosphere,17,247.3,28.8,28.8,6/17/2023,9/6/2023,,,,,,,,,,,
62,NS_17hr_Sperm_18,Non.Steamed,17hrs,Spermosphere,18,245.2,21.9,21.8,6/17/2023,9/6/2023,,,,,,,,,,,
63,NS_17hr_Sperm_19,Non.Steamed,17hrs,Spermosphere,19,248.1,28.4,28.6,6/17/2023,9/6/2023,,,,,,,,,,,
54,NS_17hr_Sperm_3,Non.Steamed,17hrs,Spermosphere,3,247.9,20.1,19.7,6/17/2023,9/6/2023,,,,,,,,,,,
55,NS_17hr_Sperm_4,Non.Steamed,17hrs,Spermosphere,4,253,24.9,24.9,6/17/2023,9/6/2023,,,,,,,,,,,
56,NS_17hr_Sperm_9,Non.Steamed,17hrs,Spermosphere,9,243.5,14.3,14.2,6/17/2023,9/6/2023,,,,,,,,,,,
39,NS_Plt_Bulk_1,Non.Steamed,Planting,Bulk.Soil,1,298.9,20.6,20.5,6/16/2023,9/15/2023,,,,,,,,,,,
38,NS_Plt_Bulk_10,Non.Steamed,Planting,Bulk.Soil,10,309.2,29.5,29.3,6/16/2023,9/15/2023,,,,,,,,,,,
35,NS_Plt_Bulk_14,Non.Steamed,Planting,Bulk.Soil,14,350,27.1,27.3,6/16/2023,9/15/2023,,,,,,,,,,,
34,NS_Plt_Bulk_15,Non.Steamed,Planting,Bulk.Soil,15,293.9,12.2,12.1,6/16/2023,9/15/2023,,,,,,,,,,,
42,NS_Plt_Bulk_2,Non.Steamed,Planting,Bulk.Soil,2,296.9,18.8,18.3,6/16/2023,9/15/2023,,,,,,,,,,,
37,NS_Plt_Bulk_20,Non.Steamed,Planting,Bulk.Soil,20,310.5,38.4,37.7,6/16/2023,9/15/2023,,,,,,,,,,,
36,NS_Plt_Bulk_5,Non.Steamed,Planting,Bulk.Soil,5,312.3,29.9,29.5,6/16/2023,9/15/2023,,,,,,,,,,,
40,NS_Plt_Bulk_6,Non.Steamed,Planting,Bulk.Soil,6,301.9,23.8,23.8,6/16/2023,9/15/2023,,,,,,,,,,,
41,NS_Plt_Bulk_7,Non.Steamed,Planting,Bulk.Soil,7,326,21.9,21.7,6/16/2023,9/15/2023,,,,,,,,,,,
33,NS_Plt_Bulk_8,Non.Steamed,Planting,Bulk.Soil,8,297.9,20.1,20.1,6/16/2023,9/15/2023,,,,,,,,,,,
18,NS_Plt_Sperm_1,Non.Steamed,Planting,Spermosphere,1,282,30.6,29.8,6/16/2023,9/6/2023,,,,,,,,,,,
17,NS_Plt_Sperm_10,Non.Steamed,Planting,Spermosphere,10,288,10.1,9.94,6/16/2023,9/6/2023,,,,,,,,,,,
14,NS_Plt_Sperm_14,Non.Steamed,Planting,Spermosphere,14,168.6,4.34,4.31,6/16/2023,9/6/2023,,,,,,,,,,,
13,NS_Plt_Sperm_15,Non.Steamed,Planting,Spermosphere,15,191.9,8.59,8.78,6/16/2023,9/6/2023,,,,,,,,,,,
21,NS_Plt_Sperm_2,Non.Steamed,Planting,Spermosphere,2,273.5,12.5,12.4,6/16/2023,9/6/2023,,,,,,,,,,,
16,NS_Plt_Sperm_20,Non.Steamed,Planting,Spermosphere,20,271,9.68,9.73,6/16/2023,9/6/2023,,,,,,,,,,,
15,NS_Plt_Sperm_5,Non.Steamed,Planting,Spermosphere,5,215.1,13.6,13.4,6/16/2023,9/6/2023,,,,,,,,,,,
19,NS_Plt_Sperm_6,Non.Steamed,Planting,Spermosphere,6,263.8,14.8,14.7,6/16/2023,9/6/2023,,,,,,,,,,,
20,NS_Plt_Sperm_7,Non.Steamed,Planting,Spermosphere,7,260.7,8.8,8.67,6/16/2023,9/6/2023,,,,,,,,,,,
12,NS_Plt_Sperm_8,Non.Steamed,Planting,Spermosphere,8,134.5,4.65,4.52,6/16/2023,9/6/2023,,,,,,,,,,,
100,NS_V2_Bulk_12,Non.Steamed,V2,Bulk.Soil,12,291.9,13.1,13.1,7/5/2023,9/12/2023,,,,,,,,,,,
101,NS_V2_Bulk_13,Non.Steamed,V2,Bulk.Soil,13,272.8,18.9,18.5,7/5/2023,9/12/2023,,,,,,,,,,,
102,NS_V2_Bulk_15,Non.Steamed,V2,Bulk.Soil,15,286,15.5,15.3,7/5/2023,9/12/2023,,,,,,,,,,,
103,NS_V2_Bulk_16,Non.Steamed,V2,Bulk.Soil,16,288.7,39.4,39.2,7/5/2023,9/12/2023,,,,,,,,,,,
104,NS_V2_Bulk_18,Non.Steamed,V2,Bulk.Soil,18,291.6,29.6,29.5,7/5/2023,9/12/2023,,,,,,,,,,,
105,NS_V2_Bulk_19,Non.Steamed,V2,Bulk.Soil,19,268.3,14.7,14.4,7/5/2023,9/12/2023,,,,,,,,,,,
96,NS_V2_Bulk_3,Non.Steamed,V2,Bulk.Soil,3,271.1,35.4,35.3,7/5/2023,9/12/2023,,,,,,,,,,,
97,NS_V2_Bulk_4,Non.Steamed,V2,Bulk.Soil,4,285.7,23.4,23.4,7/5/2023,9/12/2023,,,,,,,,,,,
98,NS_V2_Bulk_8,Non.Steamed,V2,Bulk.Soil,8,295.6,25.4,25,7/5/2023,9/12/2023,,,,,,,,,,,
99,NS_V2_Bulk_9,Non.Steamed,V2,Bulk.Soil,9,291.6,30.1,30.1,7/5/2023,9/12/2023,,,,,,,,,,,
121,NS_V2_Rhizo_12,Non.Steamed,V2,Rhizosphere,12,246.1,26.7,26.7,7/5/2023,9/14/2023,,,,,,,,,,,
122,NS_V2_Rhizo_13,Non.Steamed,V2,Rhizosphere,13,206.9,14.4,14.3,7/5/2023,9/14/2023,,,,,,,,,,,
123,NS_V2_Rhizo_15,Non.Steamed,V2,Rhizosphere,15,693.2,66.1,66.5,7/5/2023,9/14/2023,,,,,,,,,,,
124,NS_V2_Rhizo_16,Non.Steamed,V2,Rhizosphere,16,277.8,23.6,23.6,7/5/2023,9/14/2023,,,,,,,,,,,
125,NS_V2_Rhizo_18,Non.Steamed,V2,Rhizosphere,18,333.4,54.3,53.6,7/5/2023,9/14/2023,,,,,,,,,,,
126,NS_V2_Rhizo_19,Non.Steamed,V2,Rhizosphere,19,509.2,43.3,42.6,7/5/2023,9/14/2023,,,,,,,,,,,
117,NS_V2_Rhizo_3,Non.Steamed,V2,Rhizosphere,3,271.6,30.9,30.7,7/5/2023,9/14/2023,,,,,,,,,,,
118,NS_V2_Rhizo_4,Non.Steamed,V2,Rhizosphere,4,461.1,39.5,39.2,7/5/2023,9/14/2023,,,,,,,,,,,
119,NS_V2_Rhizo_8,Non.Steamed,V2,Rhizosphere,8,737.6,76.6,77,7/5/2023,9/14/2023,,,,,,,,,,,
120,NS_V2_Rhizo_9,Non.Steamed,V2,Rhizosphere,9,252,34.9,34.8,7/5/2023,9/14/2023,,,,,,,,,,,
64,S_17hr_Bulk_1,Steamed ,17hrs,Bulk.Soil,1,307.6,17.2,16.8,6/17/2023,9/17/2023,,,,,,,,,,,
69,S_17hr_Bulk_10,Steamed ,17hrs,Bulk.Soil,10,311.7,15.3,15.2,6/17/2023,9/17/2023,,,,,,,,,,,
70,S_17hr_Bulk_11,Steamed ,17hrs,Bulk.Soil,11,310.7,13.6,13.5,6/17/2023,9/17/2023,,,,,,,,,,,
71,S_17hr_Bulk_14,Steamed ,17hrs,Bulk.Soil,14,299.9,17.7,17.6,6/17/2023,9/17/2023,,,,,,,,,,,
72,S_17hr_Bulk_18,Steamed ,17hrs,Bulk.Soil,18,311.7,10.3,10.3,6/17/2023,9/17/2023,,,,,,,,,,,
