OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_1	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Phallales_1	Phallaceae_1	Phallus_1	Phallus rugulosus 		0	0
FOTU_2	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1		Fungi-CCHF67,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium	100.000	100
FOTU_3	Fungi_1	Ascomycota_1	Dothideomycetes_1	Cladosporiales_1	Cladosporiaceae_1	Cladosporium_1	Cladosporium cladosporioides 	Fungi-ZANF35,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium	100.000	100
FOTU_4	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1			Fungi-OEO_O300,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__Linnemannia_elongata	87.624	100
FOTU_5	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1			Fungi-OEO_O203,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__Linnemannia_elongata	100.000	99
FOTU_6	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Tetracladium_1				0	0
FOTU_7	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1		Fungi-CCHF67,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium	82.524	100
FOTU_8	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Trichocomaceae_1	Talaromyces_1	Talaromyces ucrainicus 		0	0
FOTU_9	Fungi_1							Fungi-CCHF61,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces	98.000	100
FOTU_10	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Hypocreaceae_1	Trichoderma_1		Fungi-CHH22,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma	99.502	100
FOTU_11	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1	Spizellomycetaceae_1	Spizellomyces_1	Spizellomyces punctatus 		0	0
FOTU_12								Fungi-OEO_O300,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__Linnemannia_elongata	82.564	96
FOTU_13	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	Alternaria tenuissima 	Fungi-ZANF71,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria	100.000	100
FOTU_14									0	0
FOTU_15	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1	Fusarium equiseti 	Fungi-ZANF49,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_equiseti	100.000	100
FOTU_16	Fungi_1							Fungi-ZANF69,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_neocosmosporiellum	97.015	100
FOTU_17	Fungi_1							Fungi-CCHF44,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea	98.507	100
FOTU_18								Mocki-Mock9,p__Mockimycota,c__Mockimycetes,o__Mockiales,f__Mockiaceae,g__Mock,s__mock9	100.000	100
FOTU_19	Fungi_1							Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	92.040	100
FOTU_20								Mocki-Mock10,p__Mockimycota,c__Mockimycetes,o__Mockiales,f__Mockiaceae,g__Mock,s__mock10	100.000	100
