OTU_ID	C_17hr_Bulk_4_S493	C_17hr_Sperm_3_S469	C_Plt_Bulk_2_S448	C_Plt_Sperm_1_S427	C_V2_Bulk_5_S514	C_V2_Rhizo_6_S535	Mock1_S413	Mock2_S414	Mock3_S415	NS_17hr_Bulk_11_S497	NS_17hr_Bulk_12_S498	NS_17hr_Bulk_13_S499	NS_17hr_Bulk_16_S500	NS_17hr_Bulk_17_S501	NS_17hr_Bulk_18_S502	NS_17hr_Bulk_19_S503	NS_17hr_Bulk_3_S494	NS_17hr_Bulk_4_S495	NS_17hr_Bulk_9_S496	NS_17hr_Sperm_11_S473	NS_17hr_Sperm_12_S474	NS_17hr_Sperm_13_S475	NS_17hr_Sperm_16_S476	NS_17hr_Sperm_17_S477	NS_17hr_Sperm_18_S481	NS_17hr_Sperm_19_S482	NS_17hr_Sperm_3_S470	NS_17hr_Sperm_4_S471	NS_17hr_Sperm_9_S472	NS_Plt_Bulk_10_S454	NS_Plt_Bulk_14_S451	NS_Plt_Bulk_15_S450	NS_Plt_Bulk_1_S455	NS_Plt_Bulk_20_S453	NS_Plt_Bulk_2_S458	NS_Plt_Bulk_5_S452	NS_Plt_Bulk_6_S456	NS_Plt_Bulk_7_S457	NS_Plt_Bulk_8_S449	NS_Plt_Sperm_10_S433	NS_Plt_Sperm_14_S430	NS_Plt_Sperm_15_S429	NS_Plt_Sperm_1_S434	NS_Plt_Sperm_20_S432	NS_Plt_Sperm_2_S437	NS_Plt_Sperm_5_S431	NS_Plt_Sperm_6_S435	NS_Plt_Sperm_7_S436	NS_Plt_Sperm_8_S428	NS_V2_Bulk_12_S519	NS_V2_Bulk_13_S520	NS_V2_Bulk_15_S521	NS_V2_Bulk_16_S522	NS_V2_Bulk_18_S523	NS_V2_Bulk_19_S524	NS_V2_Bulk_3_S515	NS_V2_Bulk_4_S516	NS_V2_Bulk_8_S517	NS_V2_Bulk_9_S518	NS_V2_Rhizo_12_S540	NS_V2_Rhizo_13_S541	NS_V2_Rhizo_15_S542	NS_V2_Rhizo_16_S543	NS_V2_Rhizo_18_S544	NS_V2_Rhizo_19_S545	NS_V2_Rhizo_3_S536	NS_V2_Rhizo_4_S537	NS_V2_Rhizo_8_S538	NS_V2_Rhizo_9_S539	Out1_S546	Out2_S547	Out3_S548	PCRNC13_S416	PCRNC14_S478	PCRNC15_S479	PCRNC16_S480	PCRNC17_S552	PCRNC18_S553	PCRNC19_S554	PCRNC20_S572	PCRNC21_S573	PCRNC22_S574	S_17hr_Bulk_10_S488	S_17hr_Bulk_11_S489	S_17hr_Bulk_14_S490	S_17hr_Bulk_18_S491	S_17hr_Bulk_1_S483	S_17hr_Bulk_20_S492	S_17hr_Bulk_3_S484	S_17hr_Bulk_4_S485	S_17hr_Bulk_7_S486	S_17hr_Bulk_8_S487	S_17hr_Sperm_10_S464	S_17hr_Sperm_11_S465	S_17hr_Sperm_14_S466	S_17hr_Sperm_18_S467	S_17hr_Sperm_1_S459	S_17hr_Sperm_20_S468	S_17hr_Sperm_3_S460	S_17hr_Sperm_4_S461	S_17hr_Sperm_7_S462	S_17hr_Sperm_8_S463	S_Plt_Bulk_12_S441	S_Plt_Bulk_13_S447	S_Plt_Bulk_15_S443	S_Plt_Bulk_16_S438	S_Plt_Bulk_17_S444	S_Plt_Bulk_19_S442	S_Plt_Bulk_2_S446	S_Plt_Bulk_5_S445	S_Plt_Bulk_6_S440	S_Plt_Bulk_9_S439	S_Plt_Sperm_12_S420	S_Plt_Sperm_13_S426	S_Plt_Sperm_15_S422	S_Plt_Sperm_16_S417	S_Plt_Sperm_17_S423	S_Plt_Sperm_19_S421	S_Plt_Sperm_2_S425	S_Plt_Sperm_5_S424	S_Plt_Sperm_6_S419	S_Plt_Sperm_9_S418	S_V2_Bulk_10_S509	S_V2_Bulk_11_S510	S_V2_Bulk_14_S511	S_V2_Bulk_18_S512	S_V2_Bulk_1_S504	S_V2_Bulk_20_S513	S_V2_Bulk_3_S505	S_V2_Bulk_4_S506	S_V2_Bulk_7_S507	S_V2_Bulk_8_S508	S_V2_Rhizo_10_S530	S_V2_Rhizo_11_S531	S_V2_Rhizo_14_S532	S_V2_Rhizo_18_S533	S_V2_Rhizo_1_S525	S_V2_Rhizo_20_S534	S_V2_Rhizo_3_S526	S_V2_Rhizo_4_S527	S_V2_Rhizo_7_S528	S_V2_Rhizo_8_S529
FOTU_10007	110	0	0	0	0	0	0	4	2	2	2	1	1	0	2	0	0	0	1	1	15	1	3	0	1	1	1	0	0	1	0	0	1	2	0	4	0	1	2	0	0	0	0	1	3	0	1	0	0	0	0	0	0	2	4	1	3	0	0	1	1	1	3	0	3	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	1	3	1	1	1	0	0	1	1	2	0	3	0	1	1	1	0	2	1	2	0	2	1	1	2	1	1	0	1	1	1	2	0	0	0	0	1	2	0	0	1	0	1	1	1	1	0	1	3	1	1
FOTU_3	97	5	8	0	512	6	338	574	443	1731	2309	1162	1132	240	983	957	992	1167	1636	1190	1194	677	1073	583	542	990	1260	2139	1628	2911	1115	2301	1089	384	3019	2469	1681	1463	959	652	852	1765	1489	4129	2695	1026	1484	2010	34	315	382	451	615	448	221	934	373	344	316	714	450	410	1138	200	634	255	150	457	542	539	271	375	3	24	7	20	2	0	0	11	0	0	2764	5397	2352	3089	1347	1489	1020	902	3738	3359	2197	964	2639	4930	1071	11	1321	1418	2665	3988	2189	3423	1168	2574	3263	1373	752	191	426	2770	2035	4534	2115	1913	1200	1072	1822	190	1429	6565	2560	1537	508	356	480	775	753	680	750	3087	798	1733	25667	4325	365	271	11764	7266	1012	8962
FOTU_58	3	993	14	4	13	16	415	764	490	251	520	545	334	125	253	250	151	228	286	226	299	472	382	179	183	469	264	450	505	262	317	259	515	205	194	385	251	250	168	306	41	253	293	473	792	247	1268	400	55	154	136	236	556	485	185	233	164	187	170	288	165	255	506	141	222	221	166	384	284	597	284	339	4	2117	4	3	2	2	3	17	0	0	176	245	129	167	267	181	253	139	360	211	208	435	418	682	256	12	290	734	496	261	211	205	197	202	280	184	244	254	313	301	263	154	256	307	219	234	217	440	66	182	581	181	305	175	323	350	276	286	214	439	161	356	258	175	319	162	191	422	176	210
FOTU_560	20	0	0	64	0	147	1	1	2	0	3	1	0	0	0	1	0	0	1	3	1	2	3	0	0	0	0	0	3	0	1	1	2	0	16	1	1	0	0	0	255	879	1	0	0	217	2	123	189	0	0	0	2	2	1	0	0	3	1	1	0	1	1	0	2	0	0	1	0	4	1	0	80	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	1	0	1	0	186	0	1	0	2	123	2	0	0	112	1	1	0	1	56	0	1	0	1	1	4	253	166	0	453	2	82	1	1	900	1	0	4	0	180	1	0	0	1	10	1	0	0	0	1	0	0	0	1	2
FOTU_2626	70	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	7	0	0	0	0	0	0	0	1	3	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0
FOTU_9141	1	1	1	0	2	0	41	84	67	34	60	50	34	13	26	20	28	23	44	34	30	34	42	24	21	66	20	20	43	33	71	27	38	18	13	33	22	52	10	18	3	32	23	14	187	29	45	37	5	17	92	26	49	41	24	41	20	19	26	16	22	26	50	14	25	24	33	30	37	906	764	399	1	1	0	0	0	0	2	0	0	0	15	21	14	46	23	10	24	23	31	14	16	35	39	45	20	1	16	52	69	23	12	22	26	23	19	13	20	27	27	28	33	21	36	34	21	24	17	31	9	24	68	16	28	20	28	32	32	23	32	35	17	32	32	17	46	10	20	41	17	33
FOTU_51	1	5	765	4	10	9	320	559	400	1743	2028	1899	1049	1558	1677	2629	643	2147	2373	1386	2013	2064	1746	1452	2960	3391	1623	890	1676	656	1225	825	1160	2860	899	2095	1683	1096	981	630	27	208	1042	721	1065	364	1184	1004	1395	1693	621	1232	2665	1677	1055	6880	1023	1144	1391	1227	1166	1486	1455	852	542	1141	1482	608	743	736	308	380	1	15	10	0	4	0	7	15	0	3	158	258	269	211	545	134	175	118	432	147	176	301	369	284	239	9	470	320	313	144	109	180	297	160	195	179	286	172	313	233	229	109	201	212	183	793	320	199	52	159	396	232	207	166	217	293	222	259	188	383	212	266	198	148	250	123	139	351	160	166
FOTU_50	1	3	5	0	4	2	144	329	190	638	378	1124	1034	212	673	662	405	291	389	424	318	333	719	1085	634	450	202	318	914	212	693	225	526	485	500	570	505	409	417	62	11	98	180	65	911	607	710	1000	14	136	208	1544	432	278	169	352	180	267	163	175	129	352	634	280	254	189	164	228	421	340	104	322	1	4	3	0	0	1	0	7	0	0	380	569	320	201	331	389	210	278	204	69	617	388	199	118	229	3	232	819	668	829	315	453	307	83	94	9612	114	95	658	120	989	1110	417	1305	99	522	672	96	28	80	261	81	106	139	116	112	93	123	235	270	95	175	446	169	169	93	68	191	80	87
FOTU_3705	2	0	0	0	0	0	0	3	4	1	1	2	0	0	0	1	0	0	0	0	3	0	0	0	1	1	0	0	0	1	3	0	3	0	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	2	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	2
FOTU_5372	1	29	0	6	53	0	0	0	2	0	5	1	0	1	2	0	0	0	2	0	2	0	6	0	0	0	0	0	6	0	1	0	1	0	3	1	1	2	2	7	54	0	3	0	2	1	5	1	2	1	0	1	1	5	0	1	3	1	2	0	2	0	2	0	0	1	0	0	0	1	0	2	0	2	0	0	21	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	5	3	0	0	35	2	0	1	4	3	9	0	3	20	4	0	1	3	0	2	1	1	5	5	6	0	5	26	2	4	1	6	0	11	8	0	0	0	1	0	3	1	0	0	2	1	0	0	2
